NN;MAE;RMSE
1;4.309508196721312;6.023311817090466
2;3.97348178903807;5.4477688500136985
3;3.772526530331925;5.160999502164303
4;3.6534288754141255;5.1228182939811395
5;3.7563487101897373;5.180431028553867
6;3.802420129016689;5.196492143473987
7;3.828912256562824;5.254464945579479
8;3.890197387673913;5.227959405536249
9;3.894716723909492;5.1983626947689165
10;3.983200885280721;5.294274327671905
11;4.01644468252467;5.325661767579136
12;4.1093149487248475;5.392109468171133
13;4.146341104556319;5.391889828466886
14;4.147320736543385;5.4053068771838015
15;4.11389636143198;5.326174759964065
16;4.1016553090964365;5.346937083880931
17;4.109003100378659;5.3510832228192635
18;4.089270623961809;5.307288199670864
19;4.1032032828144125;5.322805475190451
20;4.10502982019713;5.319808950451141
21;4.161132213271121;5.369486557157636
22;4.174302818294025;5.379426139661762
23;4.213398540660429;5.40502883812498
24;4.2301603756079365;5.414600450435603
25;4.267758356804018;5.445900235414152
26;4.286909139964458;5.451260096787467
27;4.34427932311243;5.489911587906879
28;4.37978269178192;5.5320702376720305
29;4.39426614835505;5.5365591786088
30;4.381002045974989;5.514949744278119
31;4.38555827864611;5.50724534548088
32;4.395776731541809;5.501518414042223
33;4.418435437429309;5.510224124604205
34;4.441644960958507;5.522218093039504
35;4.461676713616763;5.543917444790849
36;4.4665778308009685;5.538266718266098
37;4.482530944688964;5.5484793374687795
38;4.51698062178439;5.568409925564152
39;4.530928848460526;5.578199394588514
40;4.568980152819842;5.625117208634478
41;4.60310255770441;5.6419350682159966
42;4.630035436222343;5.655703027993641
43;4.648351812246436;5.660196954777627
44;4.663616776067176;5.669409566567869
45;4.6906818814223445;5.682027127195694
46;4.708393746283462;5.695354383861078
47;4.7359568485989385;5.711925464802459
48;4.759776852203729;5.7237600442603735
49;4.775405707869608;5.726319994647313
50;4.796678155435302;5.740857368184021
51;4.814945455766578;5.752107819859666
52;4.835615082447235;5.774955868234659
53;4.866303943559368;5.8031970503396675
54;4.886386789184882;5.81532527184947
55;4.9054698947045825;5.83343135679067
56;4.907804779134114;5.83292898270201
57;4.91006023694653;5.834579798889646
58;4.910394616474593;5.83650569477188
59;4.904727597913703;5.830639564949977
60;4.910406812846587;5.836673679681009
