,Scale,NNb,RMSE
0,2.0,2.0,0.01987094169270119
1,2.0,4.0,0.021273341270729548
2,2.0,6.0,0.02214910969202428
3,2.0,8.0,0.023525428169868592
4,2.0,10.0,0.024507126245113756
5,2.0,12.0,0.025572173982978928
6,2.0,14.0,0.02640369981330757
7,2.0,16.0,0.0272275462732207
8,2.0,18.0,0.027992138203959495
9,2.0,20.0,0.028727722876053543
10,2.0,22.0,0.029457469092959192
11,2.0,24.0,0.03015873824021013
12,2.0,26.0,0.030817891379277776
13,2.0,28.0,0.03145972326658851
14,2.0,30.0,0.032105634538570106
15,2.0,32.0,0.03273298772122041
16,2.0,34.0,0.033351178998577966
17,2.0,36.0,0.03391495102825282
18,2.0,38.0,0.0345025094601229
19,2.0,40.0,0.035060474508385946
20,2.0,42.0,0.03561191704586869
21,2.0,44.0,0.03613096711124641
22,2.0,46.0,0.03661832677926427
23,2.0,48.0,0.037101292939467116
24,2.0,50.0,0.03756660998342728
25,2.0,52.0,0.038009186970345075
26,2.0,54.0,0.03844174230601816
27,2.0,56.0,0.03885775296104906
28,2.0,58.0,0.03926244650172129
29,2.0,60.0,0.039654218586041574
30,2.0,62.0,0.04002386007960579
31,2.0,64.0,0.040401014536931734
32,2.0,66.0,0.04076212368797107
33,2.0,68.0,0.041100734679955474
34,2.0,70.0,0.04143965655672759
35,2.0,72.0,0.04176749308178612
36,2.0,74.0,0.04209682354425044
37,2.0,76.0,0.04241538141066085
38,2.0,78.0,0.042717917909681304
39,2.0,80.0,0.043014598027001666
40,2.0,82.0,0.043313806877765725
41,2.0,84.0,0.04359718506513668
42,2.0,86.0,0.04387446526533159
43,2.0,88.0,0.044153131134378354
44,2.0,90.0,0.04442487943278328
45,2.0,92.0,0.0446866236178018
46,2.0,94.0,0.044950743967896514
47,2.0,96.0,0.04521261574536893
48,2.0,98.0,0.045462963214043715
49,2.0,100.0,0.0457193322717499
50,2.0,102.0,0.0459675651349557
51,2.0,104.0,0.04621679534651682
52,2.0,106.0,0.04646052032032715
53,2.0,108.0,0.046700407562007655
54,2.0,110.0,0.046934984710359146
55,2.0,112.0,0.047165643033608526
56,2.0,114.0,0.04740028053514294
57,2.0,116.0,0.04763368110651818
58,2.0,118.0,0.04786069422504506
59,2.0,120.0,0.04808677421818154
60,2.0,122.0,0.04831779304759215
61,2.0,124.0,0.048543561627607534
62,2.0,126.0,0.04876200607432429
63,2.0,128.0,0.048984075264328665
64,2.0,130.0,0.04920656643715546
65,2.0,132.0,0.04942147754208742
66,2.0,134.0,0.04963411247105809
67,2.0,136.0,0.049848391470346316
68,2.0,138.0,0.050061200736102415
69,2.0,140.0,0.05028175951153209
