x y Depth Vs
457.3858 284.1479 -6.0 3.556
457.3858 284.1479 -5.9 3.556
457.3858 284.1479 -5.8 3.556
457.3858 284.1479 -5.7 3.556
457.3858 284.1479 -5.6 3.556
457.3858 284.1479 -5.5 3.556
457.3858 284.1479 -5.4 3.556
457.3858 284.1479 -5.3 3.556
457.3858 284.1479 -5.2 3.556
457.3858 284.1479 -5.1 3.556
457.3858 284.1479 -5.0 3.556
457.3858 284.1479 -4.9 3.556
457.3858 284.1479 -4.8 3.556
457.3858 284.1479 -4.7 3.556
457.3858 284.1479 -4.6 3.556
457.3858 284.1479 -4.5 3.556
457.3858 284.1479 -4.4 3.556
457.3858 284.1479 -4.3 3.556
457.3858 284.1479 -4.2 3.556
457.3858 284.1479 -4.1 3.556
457.3858 284.1479 -4.0 3.556
457.3858 284.1479 -3.9 3.556
457.3858 284.1479 -3.8 3.556
457.3858 284.1479 -3.7 3.556
457.3858 284.1479 -3.6 3.556
457.3858 284.1479 -3.5 3.556
457.3858 284.1479 -3.4 3.556
457.3858 284.1479 -3.3 3.556
457.3858 284.1479 -3.2 3.556
457.3858 284.1479 -3.1 3.556
457.3858 284.1479 -3.0 3.556
457.3858 284.1479 -2.9 3.556
457.3858 284.1479 -2.8 3.556
457.3858 284.1479 -2.7 3.556
457.3858 284.1479 -2.6 3.556
457.3858 284.1479 -2.5 3.556
457.3858 284.1479 -2.4 3.556
457.3858 284.1479 -2.3 3.556
457.3858 284.1479 -2.2 3.556
457.3858 284.1479 -2.1 3.556
457.3858 284.1479 -2.0 3.556
457.3858 284.1479 -1.9 3.556
457.3858 284.1479 -1.8 3.556
457.3858 284.1479 -1.7 3.556
457.3858 284.1479 -1.6 3.556
457.3858 284.1479 -1.5 3.556
457.3858 284.1479 -1.4 3.556
457.3858 284.1479 -1.3 3.556
457.3858 284.1479 -1.2 3.556
457.3858 284.1479 -1.1 3.556
457.3858 284.1479 -1.0 3.556
457.3858 284.1479 -0.9 3.556
457.3858 284.1479 -0.8 3.556
457.3858 284.1479 -0.7 3.556
457.3858 284.1479 -0.6 3.556
457.3858 284.1479 -0.5 3.556
457.3858 284.1479 -0.4 3.556
457.3858 284.1479 -0.3 3.556
457.3858 284.1479 -0.2 3.556
457.3858 284.1479 -0.1 3.556
457.3858 284.1479 0.0 3.556
457.3858 284.1479 0.1 3.556
457.3858 284.1479 0.2 3.556
457.3858 284.1479 0.3 3.556
